"날짜","PM10","PM2.5","오존","이산화질소","일산화탄소","아황산가스"
"2020-01-01","23","17","0.022","0.017","0.6","0.003"
"2020-01-02","55","41","0.017","0.027","0.7","0.003"
"2020-01-03","66","48","0.018","0.032","0.8","0.004"
"2020-01-04","50","37","0.016","0.033","0.9","0.004"
"2020-01-05","45","34","0.011","0.034","0.9","0.004"
"2020-01-06","52","41","0.002","0.040","1.0","0.004"
"2020-01-07","38","33","0.005","0.040","1.2","0.005"
"2020-01-08","15","11","0.026","0.013","0.7","0.003"
"2020-01-09","37","28","0.028","0.019","0.6","0.003"
"2020-01-10","46","34","0.012","0.036","0.8","0.004"
"2020-01-11","49","38","0.022","0.029","0.8","0.004"
"2020-01-12","33","24","0.030","0.015","0.6","0.003"
"2020-01-13","21","13","0.025","0.018","0.5","0.003"
"2020-01-14","31","23","0.022","0.022","0.6","0.004"
"2020-01-15","36","27","0.018","0.026","0.7","0.004"
"2020-01-16","35","24","0.013","0.032","0.7","0.004"
"2020-01-17","49","33","0.005","0.043","0.8","0.004"
"2020-01-18","45","32","0.013","0.038","0.7","0.004"
"2020-01-19","54","41","0.025","0.026","0.8","0.004"
"2020-01-20","59","38","0.025","0.024","0.8","0.004"
"2020-01-21","35","20","0.018","0.030","0.7","0.004"
"2020-01-22","63","44","0.002","0.048","1.0","0.006"
"2020-01-23","43","35","0.004","0.035","0.9","0.003"
"2020-01-24","42","31","0.021","0.022","0.8","0.003"
"2020-01-25","23","12","0.026","0.016","0.7","0.003"
"2020-01-26","18","11","0.020","0.016","0.7","0.002"
"2020-01-27","6","3","0.033","0.008","0.5","0.002"
"2020-01-28","12","7","0.020","0.021","0.6","0.003"
"2020-01-29","22","12","0.013","0.024","0.7","0.003"
"2020-01-30","18","10","0.022","0.018","0.6","0.003"
"2020-01-31","30","20","0.017","0.025","0.7","0.003"
"2020-02-01","66","53","0.024","0.027","0.9","0.003"
"2020-02-02","78","63","0.021","0.028","1.0","0.003"
"2020-02-03","37","27","0.026","0.022","0.7","0.003"
"2020-02-04","31","20","0.019","0.027","0.7","0.004"
"2020-02-05","23","14","0.030","0.014","0.6","0.003"
"2020-02-06","28","17","0.017","0.026","0.6","0.003"
"2020-02-07","44","31","0.016","0.030","0.7","0.004"
"2020-02-08","38","28","0.032","0.014","0.6","0.003"
"2020-02-09","30","20","0.030","0.016","0.6","0.003"
"2020-02-10","47","33","0.023","0.029","0.7","0.004"
"2020-02-11","64","46","0.013","0.042","0.9","0.004"
"2020-02-12","63","52","0.005","0.042","0.9","0.004"
"2020-02-13","29","22","0.017","0.025","0.7","0.003"
"2020-02-14","49","35","0.018","0.032","0.7","0.004"
"2020-02-15","51","37","0.031","0.022","0.7","0.004"
"2020-02-16","16","11","0.032","0.008","0.5","0.002"
"2020-02-17","19","11","0.032","0.008","0.4","0.002"
"2020-02-18","23","15","0.026","0.016","0.4","0.003"
"2020-02-19","32","21","0.025","0.026","0.5","0.003"
"2020-02-20","54","37","0.018","0.037","0.6","0.004"
"2020-02-21","57","36","0.024","0.030","0.5","0.004"
"2020-02-22","65","22","0.037","0.010","0.4","0.002"
"2020-02-23","23","12","0.033","0.011","0.3","0.003"
"2020-02-24","35","20","0.015","0.032","0.5","0.004"
"2020-02-25","16","11","0.022","0.022","0.5","0.002"
"2020-02-26","19","12","0.025","0.019","0.4","0.002"
"2020-02-27","14","7","0.032","0.009","0.3","0.002"
"2020-02-28","27","18","0.012","0.024","0.4","0.003"
"2020-02-29","30","22","0.013","0.023","0.4","0.002"
"2020-03-01","33","23","0.025","0.015","0.5","0.003"
"2020-03-02","37","27","0.036","0.012","0.5","0.002"
"2020-03-03","23","13","0.027","0.015","0.4","0.002"
"2020-03-04","30","18","0.034","0.011","0.4","0.002"
"2020-03-05","38","29","0.034","0.016","0.5","0.003"
"2020-03-06","39","27","0.019","0.032","0.5","0.003"
"2020-03-07","46","33","0.013","0.034","0.6","0.003"
"2020-03-08","35","26","0.027","0.017","0.5","0.002"
"2020-03-09","40","26","0.017","0.027","0.6","0.003"
"2020-03-10","28","21","0.027","0.018","0.5","0.002"
"2020-03-11","29","13","0.033","0.011","0.3","0.002"
"2020-03-12","36","15","0.024","0.022","0.4","0.003"
"2020-03-13","35","18","0.026","0.021","0.4","0.003"
"2020-03-14","27","11","0.038","0.008","0.3","0.003"
"2020-03-15","36","16","0.036","0.010","0.4","0.003"
"2020-03-16","25","12","0.032","0.013","0.3","0.003"
"2020-03-17","53","29","0.036","0.021","0.4","0.004"
"2020-03-18","50","29","0.037","0.022","0.4","0.004"
"2020-03-19","58","21","0.036","0.019","0.4","0.004"
"2020-03-20","56","8","0.034","0.011","0.3","0.003"
"2020-03-21","57","21","0.039","0.021","0.5","0.005"
"2020-03-22","53","24","0.048","0.010","0.4","0.003"
"2020-03-23","40","18","0.036","0.016","0.4","0.003"
"2020-03-24","38","21","0.036","0.018","0.4","0.003"
"2020-03-25","43","28","0.037","0.021","0.4","0.003"
"2020-03-26","43","28","0.017","0.032","0.5","0.003"
"2020-03-27","35","26","0.017","0.020","0.5","0.003"
"2020-03-28","37","11","0.031","0.010","0.4","0.002"
"2020-03-29","28","11","0.030","0.009","0.4","0.002"
"2020-03-30","30","14","0.031","0.014","0.4","0.002"
"2020-03-31","34","19","0.031","0.019","0.4","0.003"
